id,age,gender,country,is_student,education_level,years_coding,years_ml,job_title,salary_usd
20718,18-24,man,India,No,unknown,0-3 years,0-2 years,data role,"under $30,000"
20719,18-24,woman,China,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20720,18-24,man,Russia,Yes,university educated,3-10 years,unknown,unknown/unemployed,
20721,18-24,man,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20722,18-24,woman,Pakistan,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20723,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,non data role,"$125,000+"
20724,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20725,25-34,woman,India,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
20726,25-34,man,China,No,university educated,3-10 years,2-5 years,data role,"$70,000-$124,999"
20727,18-24,woman,Taiwan,Yes,no university,none,unknown,unknown/unemployed,
20728,25-34,man,Japan,No,university educated,0-3 years,2-5 years,unknown/unemployed,
20729,25-34,man,Indonesia,No,university educated,none,unknown,data role,"under $30,000"
20730,35-44,man,Canada,No,no university,3-10 years,unknown,unknown/unemployed,
20731,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20732,35-44,man,Mexico,No,unknown,3-10 years,2-5 years,non data role,
20733,25-34,woman,India,No,university educated,10+ years,2-5 years,non data role,"under $30,000"
20734,18-24,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20735,35-44,man,Ukraine,No,university educated,10+ years,5+ years,data role,"$70,000-$124,999"
20736,25-34,woman,Other,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20737,18-24,man,India,No,university educated,0-3 years,unknown,unknown/unemployed,
20738,25-34,man,Pakistan,No,university educated,unknown,unknown,unknown/unemployed,
20739,25-34,man,Kenya,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
20740,25-34,man,Pakistan,Yes,university educated,none,unknown,unknown/unemployed,
20741,35-44,man,Spain,No,university educated,none,unknown,non data role,"under $30,000"
20742,25-34,man,United States of America,No,university educated,3-10 years,0-2 years,non data role,"$70,000-$124,999"
20743,25-34,man,India,No,university educated,0-3 years,none,non data role,"under $30,000"
20744,25-34,man,United States of America,No,university educated,0-3 years,0-2 years,data role,"$125,000+"
20745,18-24,man,Egypt,Yes,unknown,3-10 years,0-2 years,unknown/unemployed,
20746,18-24,woman,India,Yes,unknown,unknown,unknown,unknown/unemployed,
20747,35-44,woman,"Iran, Islamic Republic of...",No,university educated,3-10 years,5+ years,data role,"under $30,000"
20748,25-34,man,Other,No,university educated,3-10 years,2-5 years,non data role,"under $30,000"
20749,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20750,25-34,man,France,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20751,18-24,man,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20752,18-24,man,India,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20753,55+,man,Italy,No,university educated,10+ years,5+ years,non data role,"$70,000-$124,999"
20754,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20755,25-34,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20756,55+,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
20757,35-44,man,United States of America,No,university educated,3-10 years,5+ years,data role,"$70,000-$124,999"
20758,25-34,man,United States of America,No,university educated,10+ years,0-2 years,data role,"$125,000+"
20759,35-44,man,Netherlands,No,no university,3-10 years,0-2 years,unknown/unemployed,
20760,25-34,man,Czech Republic,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20761,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,"$125,000+"
20762,35-44,man,Saudi Arabia,Yes,university educated,10+ years,0-2 years,unknown/unemployed,
20763,18-24,man,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
20764,25-34,man,Portugal,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20765,25-34,man,China,No,university educated,3-10 years,0-2 years,non data role,"$30,000-$69,999"
20766,18-24,man,United States of America,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20767,18-24,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20768,25-34,man,France,No,university educated,3-10 years,5+ years,data role,"$125,000+"
20769,25-34,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20770,25-34,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20771,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,
20772,18-24,man,India,Yes,university educated,none,unknown,unknown/unemployed,
20773,55+,woman,United States of America,No,university educated,none,unknown,unknown/unemployed,
20774,18-24,man,India,Yes,university educated,0-3 years,unknown,unknown/unemployed,
20775,55+,man,Chile,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
20776,25-34,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20777,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20778,35-44,man,Israel,No,university educated,3-10 years,5+ years,data role,"$125,000+"
20779,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20780,25-34,woman,India,No,university educated,3-10 years,0-2 years,unknown/unemployed,
20781,18-24,man,Egypt,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20782,35-44,man,Saudi Arabia,No,unknown,3-10 years,2-5 years,data role,"under $30,000"
20783,25-34,man,Nigeria,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20784,35-44,man,Other,No,university educated,10+ years,0-2 years,unknown/unemployed,
20785,25-34,woman,Nigeria,Yes,university educated,0-3 years,none,unknown/unemployed,
20786,18-24,man,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20787,45-54,woman,Egypt,No,university educated,none,unknown,data role,"under $30,000"
20788,35-44,man,United States of America,Yes,university educated,3-10 years,none,unknown/unemployed,
20789,25-34,man,Nigeria,Yes,university educated,3-10 years,2-5 years,unknown/unemployed,
20790,18-24,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20791,25-34,man,India,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
20792,25-34,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20793,45-54,man,Netherlands,No,university educated,0-3 years,none,unknown/unemployed,
20794,18-24,woman,India,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
20795,25-34,man,United States of America,No,university educated,3-10 years,2-5 years,data role,
20796,35-44,woman,United States of America,Yes,university educated,0-3 years,none,unknown/unemployed,
20797,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20798,25-34,man,Italy,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
20799,18-24,man,India,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20800,18-24,man,Kenya,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20801,25-34,man,India,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20802,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20803,18-24,man,Ecuador,Yes,university educated,0-3 years,none,unknown/unemployed,
20804,35-44,man,Other,Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20805,18-24,woman,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20806,35-44,woman,"Iran, Islamic Republic of...",No,university educated,0-3 years,0-2 years,unknown/unemployed,
20807,25-34,woman,Other,No,university educated,3-10 years,none,data role,"under $30,000"
20808,18-24,man,India,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20809,25-34,woman,India,No,unknown,10+ years,none,unknown/unemployed,
20810,18-24,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
20811,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20812,35-44,man,Canada,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20813,25-34,man,India,Yes,unknown,3-10 years,none,unknown/unemployed,
20814,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20815,25-34,man,Thailand,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20816,18-24,man,China,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20817,25-34,woman,Peru,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20818,45-54,man,Ukraine,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
20819,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20820,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20821,35-44,man,India,Yes,university educated,10+ years,none,unknown/unemployed,
20822,35-44,woman,United States of America,No,university educated,none,unknown,non data role,
20823,25-34,woman,India,Yes,unknown,0-3 years,none,unknown/unemployed,
20824,45-54,woman,United States of America,No,university educated,0-3 years,none,non data role,"$125,000+"
20825,25-34,woman,Israel,Yes,unknown,0-3 years,0-2 years,unknown/unemployed,
20826,55+,man,United States of America,No,unknown,0-3 years,0-2 years,data role,"under $30,000"
20827,18-24,woman,Kenya,Yes,university educated,none,unknown,unknown/unemployed,
20828,35-44,man,Turkey,No,university educated,10+ years,5+ years,non data role,"$70,000-$124,999"
20829,18-24,woman,United States of America,No,university educated,0-3 years,0-2 years,data role,"under $30,000"
20830,25-34,man,Nigeria,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20831,45-54,woman,"Iran, Islamic Republic of...",Yes,university educated,0-3 years,2-5 years,unknown/unemployed,
20832,25-34,man,United States of America,Yes,university educated,3-10 years,none,unknown/unemployed,
20833,18-24,woman,Egypt,Yes,no university,0-3 years,none,unknown/unemployed,
20834,25-34,man,Italy,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
20835,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20836,25-34,man,Tunisia,No,unknown,none,unknown,data role,
20837,45-54,man,Canada,No,no university,3-10 years,5+ years,unknown/unemployed,
20838,45-54,man,Czech Republic,No,university educated,10+ years,5+ years,non data role,
20839,18-24,other,I do not wish to disclose my location,No,unknown,none,unknown,non data role,"under $30,000"
20840,25-34,man,Romania,No,university educated,3-10 years,2-5 years,data role,
20841,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20842,45-54,man,Brazil,Yes,no university,10+ years,0-2 years,unknown/unemployed,
20843,35-44,man,South Africa,Yes,university educated,10+ years,2-5 years,unknown/unemployed,
20844,18-24,man,Japan,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20845,35-44,man,Egypt,Yes,no university,0-3 years,none,unknown/unemployed,
20846,35-44,man,Ireland,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20847,18-24,woman,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20848,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20849,35-44,woman,Czech Republic,No,university educated,10+ years,5+ years,data role,"$30,000-$69,999"
20850,35-44,man,Japan,No,university educated,10+ years,0-2 years,data role,"$30,000-$69,999"
20851,25-34,man,Italy,No,university educated,0-3 years,none,data role,"under $30,000"
20852,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20853,25-34,woman,Other,Yes,unknown,unknown,unknown,unknown/unemployed,
20854,18-24,man,India,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20855,45-54,man,Brazil,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20856,18-24,man,Russia,Yes,no university,0-3 years,0-2 years,unknown/unemployed,
20857,18-24,woman,United States of America,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20858,25-34,man,India,No,university educated,none,unknown,unknown/unemployed,
20859,35-44,man,Saudi Arabia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20860,55+,woman,Taiwan,No,university educated,3-10 years,2-5 years,non data role,"$30,000-$69,999"
20861,18-24,man,India,No,university educated,3-10 years,2-5 years,data role,"under $30,000"
20862,18-24,woman,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20863,18-24,man,Pakistan,Yes,university educated,0-3 years,none,unknown/unemployed,
20864,35-44,man,Russia,Yes,no university,10+ years,0-2 years,unknown/unemployed,
20865,25-34,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20866,25-34,woman,Netherlands,No,university educated,10+ years,5+ years,data role,"$70,000-$124,999"
20867,45-54,woman,Egypt,No,university educated,3-10 years,none,non data role,"under $30,000"
20868,25-34,man,Nigeria,No,university educated,0-3 years,0-2 years,non data role,"under $30,000"
20869,18-24,man,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20870,18-24,other,Algeria,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20871,35-44,man,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20872,25-34,man,India,No,university educated,3-10 years,0-2 years,data role,"under $30,000"
20873,18-24,man,Viet Nam,No,university educated,3-10 years,0-2 years,unknown/unemployed,
20874,25-34,woman,India,Yes,university educated,3-10 years,0-2 years,unknown/unemployed,
20875,18-24,other,India,Yes,no university,none,unknown,unknown/unemployed,
20876,25-34,man,India,No,unknown,none,unknown,non data role,
20877,18-24,man,Bangladesh,Yes,no university,0-3 years,unknown,unknown/unemployed,
20878,45-54,man,United States of America,No,university educated,10+ years,5+ years,data role,"$125,000+"
20879,18-24,woman,India,Yes,university educated,0-3 years,none,unknown/unemployed,
20880,18-24,man,Indonesia,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20881,18-24,man,India,Yes,university educated,0-3 years,0-2 years,unknown/unemployed,
20882,25-34,man,Other,No,university educated,3-10 years,0-2 years,non data role,"under $30,000"
20883,25-34,woman,India,No,university educated,0-3 years,0-2 years,unknown/unemployed,
20884,25-34,man,India,No,university educated,3-10 years,2-5 years,data role,"$30,000-$69,999"
